org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
carbonblack,cbapi-python,0.23,,,,2837000,663000,0.23369756,,,,,,
sara-sabr,poc-network-vpn-split-tunnel,0.22,15,40344,3.718025E-4,3067000,663000,0.21617216,14500,0,0.0,15.0,40344.0,3.718025E-4
vespa-engine,vespa,0.22,21,40344,5.205235E-4,3000000,663000,0.221,6160875,0,0.0,2.3333333,40344.0,5.7835943E-5
willcbaker-ext,subt,0.22,4466,40344,0.110698,,,,,,,4466.0,40344.0,0.110698
Sage,carbon,0.22,30,40344,7.43605E-4,3092000,663000,0.21442433,,,,5.0,40344.0,1.2393417E-4
moaazsidat,react-native-qrcode-scanner,0.22,,,,2964000,663000,0.2236842,,,,,,
hisptz,dhis2-touch,0.22,6,40344,1.48721E-4,2990000,663000,0.22173913,,,,6.0,40344.0,1.48721E-4
rusty1s,pytorch_geometric,0.22,,,,3018000,663000,0.2196819,,,,,,
cloudfoundry,uaa,0.22,7,40344,1.7350783E-4,2989000,663000,0.22181332,,,,1.75,40344.0,4.3376956E-5
MinterTeam,minter-js-sdk,0.22,1,40344,2.4786834E-5,2981000,663000,0.2224086,,,,1.0,40344.0,2.4786834E-5
MarlinFirmware,Marlin,0.22,11,40344,2.7265516E-4,3000000,663000,0.221,32474500,0,0.0,11.0,40344.0,2.7265516E-4
deccanrubyconf,deccanrubyconf.github.io,0.22,2,40344,4.9573668E-5,3060000,663000,0.21666667,43000,0,0.0,1.0,40344.0,2.4786834E-5
codebuzviraj,mytestgeo,0.22,6,40344,1.48721E-4,3061000,663000,0.21659589,,,,6.0,40344.0,1.48721E-4
ImreDobri,Swiss-C-I,0.22,,,,2967000,663000,0.22345804,,,,,,
jolocom,smartwallet-app,0.22,4,40344,9.9147335E-5,2995000,663000,0.22136895,,,,4.0,40344.0,9.9147335E-5
tls97nikhila,spring-boot-tasks,0.22,1,40344,2.4786834E-5,3044428.5,663000,0.21777485,,,,1.0,40344.0,2.4786834E-5
mate-desktop,marco,0.22,,,,2988000,663000,0.22188754,,,,,,
racket,drracket,0.22,,,,3003111.0,663000,0.22077106,,,,,,
zhangzixiong,github_test,0.22,3,40344,7.43605E-5,2997000,663000,0.22122122,,,,3.0,40344.0,7.43605E-5
Musicoll,Kiwi,0.22,,,,3079000,663000,0.21532965,,,,,,
nextcloud,files_automatedtagging,0.22,,,,3069000,663000,0.21603128,,,,,,
tensorflow,tcav,0.22,,,,3063000,663000,0.21645446,,,,,,
arxiv-vanity,engrafo-issues,0.22,1,40344,2.4786834E-5,3063000,663000,0.21645446,,,,1.0,40344.0,2.4786834E-5
sumtxt,wiesbaden,0.22,,,,3053000,663000,0.21716344,,,,,,
dependabot,feedback,0.22,,,,3047000,663000,0.21759108,,,,,,
liuhuanyong,QASystemOnMedicalKG,0.22,,,,3027000,663000,0.21902874,,,,,,
galaxyproject,planemo,0.22,,,,3002000,663000,0.22085276,,,,,,
AdvancedCustomFields,acf,0.22,,,,2996000,663000,0.22129506,,,,,,
AnastasiaHS,my_first_R_script,0.22,,,,2985000,663000,0.22211055,,,,,,
ahmetb,kubernetes-network-policy-recipes,0.22,,,,2970000,663000,0.22323233,,,,,,
spatie,laravel-sitemap,0.22,,,,2964000,663000,0.2236842,,,,,,
medialab,hyphe-browser,0.22,,,,2952000,663000,0.22459349,,,,,,
CosmiQ,solaris,0.21,,,,3085000,663000,0.21491086,,,,,,
input-output-hk,ouroboros-network,0.21,7,40344,1.7350783E-4,3177750,663000,0.20863819,35448000,0,0.0,7.0,40344.0,1.7350783E-4
